Provider UiD,Service Date Start,Service Site UiD,Total Visits,In Person,Telehealth,Telehealth- New Pt,Telehealth- Est Pt,Telehealth Psych New,Telehealth Psych Follow Up,TCM,SDV,Pre-step Telehealth,Pre-step In Person,PSYN,PSYFU,NP,Incap Visit WI,F/U,AWV,Total Visits Check
P1,1/2/24,F1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
P1,1/2/24,F2,16,16,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,16
P2,1/2/24,F3,11,11,0,0,0,0,0,1,1,0,0,0,0,0,0,9,0,11
P3,1/2/24,F4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
P3,1/2/24,F5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
P3,1/2/24,F6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
P3,1/2/24,F7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
P3,1/2/24,F8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
P3,1/2/24,F9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
P4,1/2/24,F10,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
P4,1/2/24,F11,9,9,0,0,0,0,0,1,0,0,0,0,0,3,0,5,0,9
P5,1/2/24,F12,16,16,0,0,0,0,0,0,0,0,0,0,0,1,0,14,1,16
P6,1/2/24,F13,8,8,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,8
P6,1/2/24,F14,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
P7,1/2/24,F15,12,12,0,0,0,0,0,0,0,0,0,0,0,2,0,9,1,12
P8,1/2/24,F16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
P8,1/2/24,F17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
P8,1/2/24,F18,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
P9,1/2/24,F19,11,0,11,1,9,0,0,1,0,0,0,0,0,0,0,0,0,11
P10,1/2/24,F20,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,5
P10,1/2/24,F21,7,7,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,7
P11,1/2/24,F22,5,5,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,5
P11,1/2/24,F23,5,5,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,5
P12,1/2/24,F24,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,9
P13,1/2/24,F25,11,11,0,0,0,0,0,2,0,0,0,0,0,2,0,7,0,11
P14,1/2/24,F26,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
P14,1/2/24,F27,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
P15,1/2/24,F28,16,16,0,0,0,0,0,1,5,0,0,0,0,1,0,9,0,16
P16,1/2/24,F29,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
P17,1/2/24,F30,10,10,0,0,0,0,0,1,5,0,0,0,0,0,0,4,0,10
P18,1/2/24,F31,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
P18,1/2/24,F32,12,12,0,0,0,0,0,0,1,0,0,0,0,0,0,10,1,12
P19,1/2/24,F33,15,15,0,0,0,0,0,1,3,0,0,0,0,0,0,11,0,15
P20,1/2/24,F34,10,10,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,10
P20,1/2/24,F35,5,5,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,5
P21,1/2/24,F36,15,15,0,0,0,0,0,0,1,0,0,0,0,2,0,10,2,15
P22,1/2/24,F37,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
P22,1/2/24,F38,8,8,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,8
P22,1/2/24,F39,19,19,0,0,0,0,0,0,4,0,0,0,0,0,0,15,0,19
P23,1/2/24,F40,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
P23,1/2/24,F41,16,16,0,0,0,0,0,2,3,0,0,0,0,0,0,10,1,16
P24,1/2/24,F42,13,13,0,0,0,0,0,0,6,0,0,0,0,0,0,6,1,13
P25,1/2/24,F43,14,14,0,0,0,0,0,2,2,0,0,0,0,1,0,9,0,14
P26,1/2/24,F44,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
P26,1/2/24,F45,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
P27,1/2/24,F46,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
P27,1/2/24,F47,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
P28,1/2/24,F48,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4
P28,1/2/24,F49,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
P29,1/2/24,F50,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,10
P30,1/2/24,F51,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
P31,1/2/24,F52,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
P31,1/2/24,F53,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
P31,1/2/24,F54,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,5
P32,1/2/24,F55,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
P32,1/2/24,F56,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
P32,1/2/24,F57,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
P32,1/2/24,F58,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
P32,1/2/24,F59,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
P32,1/2/24,F60,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
P33,1/2/24,F61,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
P34,1/2/24,F62,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
P34,1/2/24,F51,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,9
P35,1/2/24,F63,8,8,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,8
P36,1/2/24,F64,11,11,0,0,0,0,0,2,1,0,0,0,0,1,0,6,1,11
P36,1/2/24,F65,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
P37,1/2/24,F66,14,14,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,14
P38,1/2/24,F67,14,14,0,0,0,0,0,0,3,0,0,0,0,0,0,10,1,14
P39,1/2/24,F63,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
P40,1/2/24,F68,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3
P40,1/2/24,F69,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
P40,1/2/24,F70,6,6,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,6
P41,1/2/24,F71,13,13,0,0,0,0,0,3,4,0,0,0,0,0,0,6,0,13
P42,1/2/24,F72,10,10,0,0,0,0,0,0,1,0,0,0,0,2,0,7,0,10
P43,1/2/24,F73,9,9,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,9
