Business Line,Anonymized_PCP_UID,Anonymized_Facility_UID,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
Florida Geriatrics,P10,F1103,0,0,0,0,0,0,6,10,14,16,16,16
Florida Geriatrics,P10,F1162,0,0,0,0,0,0,0,0,0,0,2,3
Florida Geriatrics,P10,F143,9,8,6,6,5,6,6,6,6,6,6,5
Florida Geriatrics,P10,F144,25,30,30,32,32,32,30,30,30,30,29,29
Florida Geriatrics,P10,F192,30,31,31,36,36,39,42,43,40,37,36,35
Florida Geriatrics,P10,F20,26,26,25,24,22,23,23,25,26,27,26,25
Florida Geriatrics,P10,F21,31,28,27,23,25,25,27,23,27,28,27,28
Florida Geriatrics,P10,F257,6,6,6,6,5,5,3,3,0,0,0,0
Florida Geriatrics,P10,F258,28,26,28,25,27,25,24,22,22,22,23,26
Florida Geriatrics,P10,F342,87,92,89,90,93,92,94,98,94,90,83,80
Florida Geriatrics,P10,F367,29,36,34,33,31,28,28,26,26,27,27,27
Florida Geriatrics,P10,F555,5,5,5,6,6,6,4,4,4,4,3,3
Florida Geriatrics,P10,F929,0,2,1,2,0,0,0,0,0,0,0,0
Florida Geriatrics,P10,F949,0,1,1,3,0,0,0,0,0,0,0,0
Florida Geriatrics,P10,F964,0,7,17,19,19,18,17,17,0,0,0,0
Florida Geriatrics,P103,F1011,0,0,1,8,10,9,12,14,16,16,20,22
Florida Geriatrics,P103,F1032,0,0,0,3,5,9,10,10,10,13,17,17
Florida Geriatrics,P103,F105,30,31,34,33,34,33,29,32,27,28,26,22
Florida Geriatrics,P103,F1050,0,0,0,5,6,5,8,8,9,9,14,14
Florida Geriatrics,P103,F1095,0,0,0,0,1,1,1,1,1,0,0,0
Florida Geriatrics,P103,F140,21,22,22,20,23,21,21,19,19,19,20,19
Florida Geriatrics,P103,F141,24,23,23,21,21,19,19,18,18,18,18,20
Florida Geriatrics,P103,F23,96,104,104,104,99,97,95,97,95,94,90,91
Florida Geriatrics,P103,F252,59,56,58,57,56,55,55,58,59,56,58,55
Florida Geriatrics,P103,F407,46,41,40,37,36,35,35,35,34,32,29,27
Florida Geriatrics,P103,F435,51,55,55,52,54,58,59,63,70,74,79,81
Florida Geriatrics,P103,F491,60,63,62,64,61,59,59,58,58,63,58,59
Florida Geriatrics,P103,F502,42,39,40,42,42,41,41,41,40,38,44,45
Florida Geriatrics,P103,F513,11,11,11,11,12,10,12,11,10,0,0,0
Florida Geriatrics,P103,F596,35,43,47,51,53,52,52,50,48,50,53,51
Florida Geriatrics,P103,F597,21,19,21,23,25,24,24,21,24,23,19,21
Florida Geriatrics,P103,F605,28,28,24,21,20,19,18,17,15,15,15,14
Florida Geriatrics,P103,F606,9,12,18,21,23,23,25,25,25,28,28,31
Florida Geriatrics,P103,F607,25,45,48,50,51,53,54,58,62,60,61,55
Florida Geriatrics,P103,F61,34,34,32,31,33,34,33,35,38,38,38,34
Florida Geriatrics,P103,F701,13,15,13,17,16,14,16,15,16,17,17,19
Florida Geriatrics,P103,F710,12,9,8,8,9,8,9,10,11,15,18,19
Florida Geriatrics,P109,F1093,0,0,0,0,1,1,1,1,1,1,1,1
Florida Geriatrics,P109,F1138,0,0,0,0,0,0,0,0,0,5,7,10
Florida Geriatrics,P109,F1146,0,0,0,0,0,0,0,0,0,6,9,12
Florida Geriatrics,P109,F126,27,28,29,29,32,31,29,29,32,31,31,31
Florida Geriatrics,P109,F140,21,22,22,20,23,21,21,19,19,19,20,19
Florida Geriatrics,P109,F146,35,35,38,39,40,38,39,38,36,38,39,37
Florida Geriatrics,P109,F147,37,36,37,36,35,35,34,34,33,32,31,33
Florida Geriatrics,P109,F202,59,61,64,64,66,69,65,63,62,63,63,62
Florida Geriatrics,P109,F205,31,30,32,31,32,33,35,36,40,36,38,40
Florida Geriatrics,P109,F22,46,48,47,46,47,51,56,57,57,56,60,64
Florida Geriatrics,P109,F228,15,15,16,14,14,14,16,17,17,14,15,14
Florida Geriatrics,P109,F229,4,4,3,3,2,3,6,5,5,5,4,3
Florida Geriatrics,P109,F23,96,104,104,104,99,97,95,97,95,94,90,91
Florida Geriatrics,P109,F230,3,6,16,19,23,24,25,24,25,23,25,24
Florida Geriatrics,P109,F272,28,29,33,34,31,29,28,29,28,28,26,25
Florida Geriatrics,P109,F34,87,86,86,88,79,71,69,73,75,75,77,77
Florida Geriatrics,P109,F349,10,10,10,9,9,8,11,11,14,17,21,23
Florida Geriatrics,P109,F35,22,22,21,23,21,22,19,20,20,19,22,22
Florida Geriatrics,P109,F457,8,8,12,12,14,13,13,13,13,13,13,13
Florida Geriatrics,P11,F1011,0,0,1,8,10,9,12,14,16,16,20,22
Florida Geriatrics,P11,F1032,0,0,0,3,5,9,10,10,10,13,17,17
Florida Geriatrics,P11,F105,30,31,34,33,34,33,29,32,27,28,26,22
Florida Geriatrics,P11,F1050,0,0,0,5,6,5,8,8,9,9,14,14
Florida Geriatrics,P11,F1085,0,0,0,0,1,5,14,19,18,22,21,21
Florida Geriatrics,P11,F125,24,27,31,32,31,29,26,30,31,33,32,36
Florida Geriatrics,P11,F126,27,28,29,29,32,31,29,29,32,31,31,31
Florida Geriatrics,P11,F140,21,22,22,20,23,21,21,19,19,19,20,19
Florida Geriatrics,P11,F141,24,23,23,21,21,19,19,18,18,18,18,20
Florida Geriatrics,P11,F145,27,27,27,28,28,29,30,27,27,29,27,26
Florida Geriatrics,P11,F146,35,35,38,39,40,38,39,38,36,38,39,37
Florida Geriatrics,P11,F147,37,36,37,36,35,35,34,34,33,32,31,33
Florida Geriatrics,P11,F22,46,48,47,46,47,51,56,57,57,56,60,64
Florida Geriatrics,P11,F228,15,15,16,14,14,14,16,17,17,14,15,14
Florida Geriatrics,P11,F23,96,104,104,104,99,97,95,97,95,94,90,91
Florida Geriatrics,P11,F230,3,6,16,19,23,24,25,24,25,23,25,24
Florida Geriatrics,P11,F252,59,56,58,57,56,55,55,58,59,56,58,55
Florida Geriatrics,P11,F272,28,29,33,34,31,29,28,29,28,28,26,25
Florida Geriatrics,P11,F30,48,44,44,45,46,41,46,49,48,44,44,44
Florida Geriatrics,P11,F34,87,86,86,88,79,71,69,73,75,75,77,77
Florida Geriatrics,P11,F349,10,10,10,9,9,8,11,11,14,17,21,23
Florida Geriatrics,P11,F35,22,22,21,23,21,22,19,20,20,19,22,22
Florida Geriatrics,P11,F435,51,55,55,52,54,58,59,63,70,74,79,81
Florida Geriatrics,P11,F437,2,2,1,2,4,5,3,3,3,4,3,3
Florida Geriatrics,P11,F448,3,3,3,3,3,3,3,3,3,3,3,3
Florida Geriatrics,P11,F457,8,8,12,12,14,13,13,13,13,13,13,13
Florida Geriatrics,P11,F458,4,4,4,3,3,3,4,3,3,3,3,2
Florida Geriatrics,P11,F459,9,9,9,9,7,7,7,8,8,8,8,7
Florida Geriatrics,P11,F491,60,63,62,64,61,59,59,58,58,63,58,59
Florida Geriatrics,P11,F502,42,39,40,42,42,41,41,41,40,38,44,45
Florida Geriatrics,P11,F513,11,11,11,11,12,10,12,11,10,0,0,0
Florida Geriatrics,P11,F545,3,3,5,5,5,3,3,3,3,3,3,3
Florida Geriatrics,P11,F546,71,72,71,65,60,63,65,63,64,64,64,64
Florida Geriatrics,P11,F560,37,37,35,34,30,29,30,29,28,28,33,37
Florida Geriatrics,P11,F562,10,10,9,8,8,7,8,9,9,9,11,12
Florida Geriatrics,P11,F596,35,43,47,51,53,52,52,50,48,50,53,51
Florida Geriatrics,P11,F597,21,19,21,23,25,24,24,21,24,23,19,21
Florida Geriatrics,P11,F605,28,28,24,21,20,19,18,17,15,15,15,14
Florida Geriatrics,P11,F606,9,12,18,21,23,23,25,25,25,28,28,31
Florida Geriatrics,P11,F607,25,45,48,50,51,53,54,58,62,60,61,55
Florida Geriatrics,P11,F701,13,15,13,17,16,14,16,15,16,17,17,19
Florida Geriatrics,P11,F702,14,12,11,11,11,8,8,6,5,0,0,0
Florida Geriatrics,P11,F710,12,9,8,8,9,8,9,10,11,15,18,19
Florida Geriatrics,P11,F859,2,2,2,4,4,4,4,4,4,4,4,6
Florida Geriatrics,P11,F92,133,131,131,127,124,123,125,126,134,130,0,0
Florida Geriatrics,P111,F491,60,63,62,64,61,59,59,58,58,63,58,59
Florida Geriatrics,P111,F596,35,43,47,51,53,52,52,50,48,50,53,51
Florida Geriatrics,P118,F309,18,17,16,17,18,17,16,14,14,8,0,0
Florida Geriatrics,P118,F310,17,19,23,26,26,27,27,24,21,17,16,16
Florida Geriatrics,P118,F485,22,22,27,25,26,27,29,31,29,28,29,28
Florida Geriatrics,P118,F486,12,12,12,12,11,10,10,9,8,5,0,0
Florida Geriatrics,P118,F543,17,16,15,14,13,14,16,16,15,14,14,14
Florida Geriatrics,P118,F544,22,25,28,27,27,23,18,18,20,20,20,20
Florida Geriatrics,P118,F633,4,5,8,8,8,8,8,8,8,7,0,0
Florida Geriatrics,P118,F699,16,15,15,15,17,17,18,18,21,16,16,15
Florida Geriatrics,P118,F789,3,4,4,6,6,6,6,6,6,6,0,0
Florida Geriatrics,P120,F140,21,22,22,20,23,21,21,19,19,19,20,19
Florida Geriatrics,P120,F146,35,35,38,39,40,38,39,38,36,38,39,37
Florida Geriatrics,P120,F23,96,104,104,104,99,97,95,97,95,94,90,91
Florida Geriatrics,P120,F272,28,29,33,34,31,29,28,29,28,28,26,25
Florida Geriatrics,P120,F34,87,86,86,88,79,71,69,73,75,75,77,77
Florida Geriatrics,P120,F349,10,10,10,9,9,8,11,11,14,17,21,23
Florida Geriatrics,P120,F35,22,22,21,23,21,22,19,20,20,19,22,22
Florida Geriatrics,P120,F407,46,41,40,37,36,35,35,35,34,32,29,27
Florida Geriatrics,P120,F435,51,55,55,52,54,58,59,63,70,74,79,81
Florida Geriatrics,P120,F607,25,45,48,50,51,53,54,58,62,60,61,55
Florida Geriatrics,P14,F1069,0,0,0,0,2,4,5,8,11,14,13,13
Florida Geriatrics,P14,F150,47,51,53,49,47,47,47,44,47,48,46,45
Florida Geriatrics,P14,F151,21,22,23,23,23,23,22,21,24,23,24,22
Florida Geriatrics,P14,F156,66,64,59,63,64,67,61,65,60,59,55,52
Florida Geriatrics,P14,F26,4,4,4,4,4,4,3,3,0,0,0,0
Florida Geriatrics,P14,F262,44,43,41,42,44,43,39,41,42,44,46,46
Florida Geriatrics,P14,F27,5,5,5,5,4,4,3,3,3,0,0,0
